Name,Rank,earnings,Salary/Winnings,Sport,Male,Followers on Instagram (M),Country
Ryan Tannehill,70,25.5,25.2,Football,1,0.236,USA
Mike Conley Jr,71,25.4,24.4,Basketball,1,0.578,USA
Tobias Harris,72,25.4,24.6,Basketball,1,0.511,USA
Gareth Bale,73,25.2,19.7,Soccer,1,43.7,UK
Bobby Wagner,74,25,24.5,Football,1,0.635,USA
Amari Cooper,75,24.9,23.9,Football,1,0.867,USA
DeMar DeRozan,76,24.8,20.8,Basketball,1,2.4,USA
Robert Quinn,77,24.7,24.5,Football,1,0.074,USA
Kristaps Porzingis,78,24.5,20.5,Basketball,1,1.6,Latvia
Al Horford,79,24.4,21.1,Basketball,1,0.539,Dominican Republic
Trae Waynes,80,24.3,24.1,Football,1,0.011,USA
Dante Fowler,81,24.2,24,Football,1,0.104,USA
Khris Middleton,82,24.1,23.1,Basketball,1,0.255,USA
Marcus Mariota,83,23.9,20.9,Football,1,0.024,USA
C.J. McCollum,84,23.8,20.8,Basketball,1,1.4,USA
Nick Bosa,85,23.7,22.9,Football,1,0.672,USA
Shaq Thompson,86,23.7,23.5,Football,1,0.138,USA
Karl-Anthony Towns,87,23.5,20.5,Basketball,1,2.9,Dominican Republic
Philip Rivers,88,23.4,23,Football,1,0.002,USA
Ezekiel Elliott,89,23.3,21.3,Football,1,2.9,USA
Paul Millsap,90,23.3,22.8,Basketball,1,0.248,USA
Ben Roethlisberger,91,23,22,Football,1,0.03,USA
Andrus Peat,92,22.7,22.6,Football,1,0.017,USA
Andre Drummond,93,22.6,21.6,Basketball,1,1.2,USA
D. J. Reader,94,22.4,22.3,Football,1,0.038,USA
Quinnen Williams,95,22.4,22.2,Football,1,0.197,USA
Bradley Beal,96,22.3,20.3,Basketball,1,1.2,USA
Cam Newton,97,22.2,16.7,Football,1,4.9,USA
Calais Campbell,98,22.1,22,Football,1,0.161,USA
Derek Carr,99,22,20,Football,1,0.716,USA
Sergio Ramos,100,21.8,18.8,Soccer,1,42.1,Spain
